id;Orden ID;Producto;Nombre;Cantidad;Precio;Total;Vendedor;Fecha;Impuesto;
3b1c962d;e72de456;50;COLOR RAIZ X50G;3;$700,00;$2.100,00;9f04044e;08/01/2021;1,19;
037b90c1;52ad5614;50;COLOR RAIZ X50G;4;$700,00;$2.800,00;9f04044e;10/01/2021;1,19;
7addf8af;d1c1e8db;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;9f04044e;08/02/2021;1,19;
7c6dc67f;c7b6cf8c;50;COLOR RAIZ X50G;12;$700,00;$8.400,00;9f04044e;08/02/2021;1,19;
69b6d156;1a248fee;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;c5abb107;10/02/2021;1,19;
2de65749;c48eb9d9;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;9f04044e;08/03/2021;1,19;
800a680b;6902ece6;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;c5abb107;09/03/2021;1,19;
56a0a1fa;5fd1ec53;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;c5abb107;11/03/2021;1,19;
99a20201;67900918;50;COLOR RAIZ X50G;12;$800,00;$9.600,00;c5abb107;12/03/2021;1,19;
2292ed5c;628e6c52;50;COLOR RAIZ X50G;2;$700,00;$1.400,00;c5abb107;08/04/2021;1,19;
d8981ab1;1a1f4855;50;COLOR RAIZ X50G;3;$700,00;$2.100,00;9f04044e;11/04/2021;1,19;
6ee36f80;dc9e4366;50;COLOR RAIZ X50G;2;$700,00;$1.400,00;c5abb107;11/04/2021;1,19;
5375611c;8882288c;50;COLOR RAIZ X50G;6;$800,00;$4.800,00;c5abb107;12/04/2021;1,19;
96fe0e29;cd986247;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;c5abb107;08/05/2021;1,19;
b1080797;04d85162;50;COLOR RAIZ X50G;7;$700,00;$4.900,00;c5abb107;08/05/2021;1,19;
aeaa3dc5;6fb9f3fc;50;COLOR RAIZ X50G;5;$700,00;$3.500,00;c5abb107;09/05/2021;1,19;
3295bfa8;66353e1e;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;9f04044e;09/05/2021;1,19;
f6b4c498;ad73d5aa;50;COLOR RAIZ X50G;5;$700,00;$3.500,00;9f04044e;10/05/2021;1,19;
7d2bf6c4;4b01e4af;50;COLOR RAIZ X50G;3;$700,00;$2.100,00;c5abb107;11/05/2021;1,19;
369cd735;b7c18cca;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;9f04044e;08/06/2021;1,19;
42f95b19;469115cd;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;c5abb107;08/07/2021;1,19;
140f3c58;25d92c91;50;COLOR RAIZ X50G;8;$700,00;$5.600,00;c5abb107;09/07/2021;1,19;
8c541f53;0e1e7ef8;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;c5abb107;10/07/2021;1,19;
b0bbb981;0f099ede;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;9f04044e;10/07/2021;1,19;
7270c50c;f28921c3;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;c5abb107;10/07/2021;1,19;
43316118;2c5ee047;50;COLOR RAIZ X50G;3;$800,00;$2.400,00;9f04044e;12/07/2021;1,19;
9aba870f;cdda22b9;50;COLOR RAIZ X50G;4;$800,00;$3.200,00;9f04044e;12/07/2021;1,19;
842102d8;388a768c;50;COLOR RAIZ X50G;3;$800,00;$2.400,00;53de5b54;12/07/2021;1,19;
fd1829c3;54471acf;50;COLOR RAIZ X50G;3;$800,00;$2.400,00;53de5b54;12/07/2021;1,19;
b5135c78;93f930c8;50;COLOR RAIZ X50G;5;$800,00;$4.000,00;c5abb107;12/07/2021;1,19;
dd2c0d58;3e6d8b3d;50;COLOR RAIZ X50G;2;$700,00;$1.400,00;c5abb107;09/08/2021;1,19;
15e0511a;2e2ac421;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;c5abb107;09/08/2021;1,19;
fdd4cfc9;de0c1efd;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;9f04044e;09/08/2021;1,19;
960682c9;ff9551a7;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;9f04044e;09/08/2021;1,19;
d18af18d;671f0c84;50;COLOR RAIZ X50G;12;$800,00;$9.600,00;c5abb107;12/08/2021;1,19;
de5f8e8e;0ed65afc;50;COLOR RAIZ X50G;6;$800,00;$4.800,00;53de5b54;12/08/2021;1,19;
acd8db5e;5bfb0935;50;COLOR RAIZ X50G;8;$700,00;$5.600,00;c5abb107;11/09/2021;1,19;
f15187b1;2ea235ca;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;53de5b54;11/09/2021;1,19;
261360da;e36965e4;50;COLOR RAIZ X50G;4;$700,00;$2.800,00;c5abb107;11/09/2021;1,19;
f0e5ba7c;cfb51b32;50;COLOR RAIZ X50G;5;$700,00;$3.500,00;53de5b54;11/09/2021;1,19;
3e21a3a7;405f93b3;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;53de5b54;11/09/2021;1,19;
f289f47b;af687d2f;50;COLOR RAIZ X50G;8;$700,00;$5.600,00;c5abb107;11/09/2021;1,19;
7460b5c2;b5ce85dc;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;53de5b54;11/09/2021;1,19;
f456cad7;baaa6a98;50;COLOR RAIZ X50G;3;$700,00;$2.100,00;c5abb107;08/10/2021;1,19;
afda451a;236b9564;50;COLOR RAIZ X50G;5;$700,00;$3.500,00;9f04044e;11/10/2021;1,19;
3783d865;043213b7;50;COLOR RAIZ X50G;20;$700,00;$14.000,00;9f04044e;11/10/2021;1,19;
e56fb759;7ba06f52;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;c5abb107;08/11/2021;1,19;
e90d66cc;9c831655;50;COLOR RAIZ X50G;6;$700,00;$4.200,00;c5abb107;08/11/2021;1,19;
